id,name,url,imgUrl,phone,address,img1,img2,img3,img4,text,lat,lng,type
1,Museum of Illisuons,https://hamburg.museumderillusionen.de/en/,https://i.ibb.co/grRBM2d/icon-illus.png,040 30707105,"Lilienstraße 14-16, 20095 Hamburg",https://i.ibb.co/dbR6txJ/illus1.jpg,https://i.ibb.co/zHqygg3/IMG-4617.jpg,https://i.ibb.co/kx80Jv3/illus3.jpg,https://i.ibb.co/pR8WnS6/illus4.jpg,"Enter the fascinating world of illusions! We will trick your senses and amaze you while doing it. Visit us and you learn that nothing is what it seems, especially not in the Museum of Illusions!",53.55292,10.2021,indoor
2,Hamburger Puppentheater,https://hamburgerpuppentheater.de,https://i.ibb.co/7X0TsGT/puppen.jpg,040 334 65 07-80,"Bramfelder Straße 9, 22305 Hamburg",https://i.ibb.co/W6Y8Gqh/theater1.jpg,https://i.ibb.co/VTskrp2/theater2.jpg,https://i.ibb.co/XYMgNQ3/theater3.jpg,https://i.ibb.co/61DKkzy/theater4.jpg,The Hamburg Puppet Theatre is located under the roof of Haus Flachsland and offers a varied theatre programme for young and old.,53.583240,10.043950,indoor
3,Zoological Museum,https://hamburg.leibniz-lib.de/en/ausstellungen/museum-zoologie.html,https://i.ibb.co/H2nBYJV/zoo.jpg,040 428382276,Martin-Luther-King Platz 3 20146 Hamburg,https://i.ibb.co/Q68ZDYt/zoo1.jpg,https://i.ibb.co/pbd7X5M/zoo2.jpg,https://i.ibb.co/Vtc00MP/zoo3.jpg,https://i.ibb.co/Vw7HWhZ/zoo4.jpg,"The Zoological Museum presents specimens of different animals over some 2,000 sq m of floor space. The Museum is popular both as a learning space for school groups and a venue for art classes. It is also used intensively for university teaching. ",53.567315,9.978716,indoor
4,Indoor Playground Rabatzz,https://www.rabatzz.de/,https://i.ibb.co/wKYcQtg/rabatzz.jpg,040 54709690,Kieler Straße 575a 22525 Hamburg',https://i.ibb.co/wKYcQtg/rabatzz.jpg,https://i.ibb.co/Pj9s3jj/rabatzz2.jpg,https://i.ibb.co/hK8j4Dh/rabatzz3.jpg,https://i.ibb.co/fXV7JH9/rabatzz4.jpg,The biggest indoor playground in Hamburg. 365 days a year the Rabatzz promises variety and adventure. Children can let off steam to their heart's content on two levels. And even the big ones get their money's worth.,53.599832,9.915805,indoor
5,Emigration Museum,https://www.ballinstadt.de/en/,https://i.ibb.co/V9MHHrr/ballin.jpg,040 31979160,"Veddeler Bogen 2, 20539 Hamburg",https://i.ibb.co/LhjTXXW/ballin.jpg,https://i.ibb.co/7XhrC15/ballin1.jpg,https://i.ibb.co/ZX0N8Nb/ballin3.jpg,https://i.ibb.co/m52PDH0/ballin4.jpg,"The Emigrant Museum is great for understanding things in the world. Also a MUST for the younger generation, to experience the history of fellow human beings. Uniquely designed rooms, fascinating documentaries, some with short films. What hurdles people had to endure in some cases before they were allowed to enter the country of their choice.",53.520396,10.016970,indoor
6,The Chocolate Museum,https://www.chocoversum.de/,https://i.ibb.co/HCTdf7Q/choco.jpg,040 41912300,"Meßberg 1, 20095 Hamburg",https://i.ibb.co/87VMKSQ/choco1.jpg,https://i.ibb.co/sbHNfp7/choco2.jpg,https://i.ibb.co/NFwkxg8/choco3.jpg,https://i.ibb.co/jMwQKjb/choco4.jpg,"This irresistible experience in Hamburg’s Chocolate Museum really packs a punch!  Our ChoColleagues will take you on 90 sweet minutes through the museum while encouraging you to learn everything about chocolate making and have a nibble, snack or taste along the way.",53.547935,10.002276,indoor
7,Miniature Wonderland,https://www.miniatur-wunderland.com/,https://i.ibb.co/3W4fDBw/miniatur.jpg,040 3006800,"Kehrwieder 2/Block D, 20457 Hamburg",https://i.ibb.co/rbrwdxn/miniatur1.jpg,https://i.ibb.co/12tYDy4/miniatur2.jpg,https://i.ibb.co/kHW2QLk/miniatur3.jpg,https://i.ibb.co/Snd3qYS/miniatur4.jpg,The world's largest model railroad system has become one of the tourist highlights of Hamburg.​​​​​​​ Visitors can admire different countries and even an airport in miniature size. Hamburg’s miniature replica comprises no less than 200 square metres. ,53.543729,9.988516,indoor
8,The Puppenmuseum Falkenstein,https://www.elke-droescher.de/,https://i.ibb.co/HC8h2J7/dolls2.jpg,040 810582,"Grotiusweg 79, 22587 Hamburg",https://i.ibb.co/Gd3P9vt/dolls.jpg,https://i.ibb.co/WPNkv4J/dolls1.jpg,https://i.ibb.co/k1rvVv9/dolls3.jpg,https://i.ibb.co/vBkf58q/dolls4.jpg,"High above the Elbe river stands Hamburg's most impressive country house in Bauhaus style, a doll museum with over 500 dolls, 60 doll's houses and children's portraits. The antique dolls reflect the development of fashion and the change in the ideal of beauty. ",53.56599,9.763900000000035,indoor
